id,egcs,ercs,erAtt
1699,Malaysia,China Skyline Teloz NFS,109.0
1700,India,Zorra Voip - Letsdial,109.0
1701,India,Zorra Voip - Letsdial,109.0
1702,Malaysia,Name - Telecom Italia Sparkle,109.0
1703,Tanzania,Termsat - Meratalk LLC NFS,109.0
1704,Nepal,Name - Vodafone Idea Limited,108.0
1705,China,"Name - Vinculum Communications, Inc.",108.0
1706,China,"Name - Vinculum Communications, Inc.",109.0
1707,Spain,Coastnet Ajoxi,108.0
1708,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,113.0
1709,Sri Lanka,HKBN ENTERPRISE SOLUTIONS LIMITED,124.0
1710,Bangladesh,Progressive Telecom LLC. Letsdial,110.0
1711,Bangladesh,Progressive Telecom LLC. Letsdial,110.0
1712,India,Zorra Voip - Letsdial,107.0
1713,Bangladesh,Orange Business Services Softtop,107.0
1714,Bangladesh,Orange Business Services Softtop,107.0
1715,Sri Lanka,HKBN ENTERPRISE SOLUTIONS LIMITED,119.0
1716,Nepal,Name - Vodafone Idea Limited,107.0
1717,Indonesia,NAME - BHARTI AIRTEL,109.0
1718,Brazil,SVG-techopen,107.0
1719,Laos,Name - HKBN,114.0
1720,Sri Lanka,Telebiz International (Labuan) Corporation,107.0
1721,Japan,Name - CITIC Telecom International Limited,107.0
1722,Italy,Arptel,106.0
1723,Indonesia,NAME - BHARTI AIRTEL,106.0
1724,Indonesia,PLDT (SG) PTE LTD,106.0
1725,Spain,Coastnet Ajoxi,106.0
1726,Bangladesh,QGC - Ajoxi,106.0
1727,Japan,Name- TELOGO COMMUNICATIONS  LTD,105.0
1728,Tanzania,Termsat - Meratalk LLC NFS,105.0
1729,India,6Gtech Systems - Ajoxi,105.0
1730,Nepal,Name - Vodafone Idea Limited,105.0
1731,Indonesia,NAME - BHARTI AIRTEL,105.0
1732,France,Termsat Techopen,105.0
1733,Laos,HKBN ENTERPRISE SOLUTIONS LIMITED,106.0
1734,India,Gold Voip - Ajoxi,105.0
1735,Laos,Name - HKBN,108.0
1736,Lebanon,Quickcom Telecom Limited - Softtop,104.0
1737,Bangladesh,Alfacall Limited Ajoxi,112.0
1738,Bangladesh,Name - TERMSAT L.L.C-FZ,104.0
1739,Bangladesh,Orange Business Services Softtop,104.0
1740,Nepal,Name - Vodafone Idea Limited,104.0
1741,Bangladesh,Orange Business Services Softtop,104.0
1742,Bangladesh,QGC - Ajoxi,104.0
1743,Bangladesh,QGC - Ajoxi,104.0
1744,Mexico,Astrolink Ajoxi,104.0
1745,Bangladesh,Orange Business Services Softtop,104.0
1746,Spain,Coastnet Ajoxi,104.0
1747,Indonesia,NAME - BHARTI AIRTEL,104.0
1748,Bangladesh,Progressive Telecom LLC. Letsdial,103.0
1749,Sri Lanka,HKBN ENTERPRISE SOLUTIONS LIMITED,115.0
1750,Spain,Coastnet Ajoxi,103.0
1751,Bangladesh,Name - TVoice Telecom Limited,103.0
1752,India,Name JUPHOON (HK) LIMITED,103.0
1753,Bangladesh,Progressive Telecom LLC. Letsdial,103.0
1754,Indonesia,NAME - BHARTI AIRTEL,103.0
1755,Bangladesh,Name - TERMSAT L.L.C-FZ,102.0
1756,India,Name JUPHOON (HK) LIMITED,102.0
1757,Indonesia,NAME - BHARTI AIRTEL,102.0
1758,Australia,NAME CMI,102.0
1759,Bangladesh,Progressive Telecom LLC. Letsdial,102.0
1760,Nepal,Name - Vodafone Idea Limited,102.0
1761,United Kingdom,2WAY TELECOM,102.0
1762,Bangladesh,Orange Business Services Softtop,102.0
1763,Laos,Name - HKBN,101.0
1764,Bangladesh,Termsat Techopen,101.0
1765,Tanzania,Termsat - Meratalk LLC NFS,101.0
1766,India,Name JUPHOON (HK) LIMITED,101.0
1767,Spain,Coastnet Ajoxi,101.0
1768,Sri Lanka,HKBN ENTERPRISE SOLUTIONS LIMITED,112.0
1769,Sri Lanka,Telebiz International (Labuan) Corporation,100.0
1770,Spain,Coastnet Ajoxi,100.0
1771,Malaysia,China Skyline Teloz NFS,100.0
1772,Tanzania,Termsat - Meratalk LLC NFS,100.0
1773,Laos,HKBN ENTERPRISE SOLUTIONS LIMITED,100.0
1774,Bangladesh,Progressive Telecom LLC. Letsdial,100.0
1775,Germany,Termsat Softtop,101.0
1776,Spain,Coastnet Ajoxi,100.0
1777,Mexico,Astrolink Ajoxi,100.0
1778,India,NAME CMI,100.0
1779,Bangladesh,Orange Business Services Softtop,100.0
1780,Bangladesh,Progressive Telecom LLC. Letsdial,99.0
1781,Nepal,Name - Vodafone Idea Limited,99.0
1782,Spain,Coastnet Ajoxi,99.0
1783,Nepal,Name - Vodafone Idea Limited,99.0
1784,Sri Lanka,HKBN ENTERPRISE SOLUTIONS LIMITED,146.0
1785,Sri Lanka,HKBN ENTERPRISE SOLUTIONS LIMITED,116.0
1786,Sri Lanka,Telebiz International (Labuan) Corporation,99.0
1787,Laos,Name - HKBN,101.0
1788,Nepal,Name - Vodafone Idea Limited,99.0
1789,Bangladesh,Progressive Telecom LLC. Letsdial,99.0
1790,Tanzania,Novatel,100.0
1791,Nepal,Name - Vodafone Idea Limited,99.0
1792,India,Name - Zain Omantel International FZ-LLC,99.0
1793,India,NAME CMI,99.0
1794,Spain,Coastnet Ajoxi,99.0
1795,India,Name JUPHOON (HK) LIMITED,99.0
1796,Nepal,Name - Vodafone Idea Limited,99.0
1797,Sri Lanka,HKBN ENTERPRISE SOLUTIONS LIMITED,114.0
1798,Australia,Icon Global Services Rozper NFS,98.0
1799,Germany,SVG-techopen,98.0
1800,India,Name JUPHOON (HK) LIMITED,98.0
1801,Indonesia,NAME - BHARTI AIRTEL,98.0
1802,Nepal,Name - Vodafone Idea Limited,98.0
1803,Bangladesh,Progressive Telecom LLC. Letsdial,98.0
1804,Indonesia,NAME - BHARTI AIRTEL,98.0
1805,Bangladesh,Orange Business Services Softtop,98.0
1806,Laos,Name - HKBN,102.0
1807,India,Name - Zain Omantel International FZ-LLC,98.0
1808,Mexico,Astrolink Ajoxi,97.0
1809,Mexico,Astrolink Ajoxi,97.0
