id,egcs,ercs,erAtt
1,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",39560.0
2,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",39371.0
3,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",39203.0
4,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",39028.0
5,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",38982.0
6,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",38695.0
7,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",38629.0
8,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",37876.0
9,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",33098.0
10,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",31238.0
11,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",35087.0
12,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",29941.0
13,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",29998.0
14,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",23425.0
15,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",23197.0
16,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",23105.0
17,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",22982.0
18,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",22981.0
19,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",22895.0
20,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",22884.0
21,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",21876.0
22,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",21773.0
23,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",21736.0
24,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",21690.0
25,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",21608.0
26,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",21564.0
27,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",21481.0
28,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",21432.0
29,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",21310.0
30,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",20129.0
31,United Kingdom,Afinna ONE - Letsdial,18665.0
32,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",18208.0
33,United Kingdom,Afinna ONE - Letsdial,17962.0
34,United Kingdom,Afinna ONE - Letsdial,17337.0
35,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",16384.0
36,United Kingdom,Afinna ONE - Letsdial,15980.0
37,United Kingdom,Afinna ONE - Letsdial,15921.0
38,United Kingdom,Afinna ONE - Letsdial,15060.0
39,United Kingdom,Afinna ONE - Letsdial,14930.0
40,United Kingdom,Afinna ONE - Letsdial,14508.0
41,United Kingdom,Afinna ONE - Letsdial,14216.0
42,United Kingdom,Afinna ONE - Letsdial,14159.0
43,United Kingdom,Afinna ONE - Letsdial,12825.0
44,United Kingdom,Afinna ONE - Letsdial,12385.0
45,United Kingdom,Afinna ONE - Letsdial,11325.0
46,United Kingdom,VOIPBOXX - Ajoxi,10447.0
47,Spain,IT DECISION Techopen,9973.0
48,United Kingdom,VOIPBOXX - Ajoxi,9589.0
49,United Kingdom,Afinna ONE - Letsdial,9257.0
50,United Kingdom,VOIPBOXX - Ajoxi,9178.0
51,United Kingdom,Afinna ONE - Letsdial,9177.0
52,Brazil,Sihai telecom,9027.0
53,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",8182.0
54,Brazil,Sihai telecom,7924.0
55,Spain,IT DECISION Techopen,10079.0
56,Spain,IT DECISION Techopen,7586.0
57,Bangladesh,Alfacall Limited Ajoxi,7412.0
58,United Kingdom,Afinna ONE - Letsdial,7434.0
59,Spain,IT DECISION Techopen,7252.0
60,United Kingdom,VOIPBOXX - Ajoxi,7088.0
61,United Kingdom,Afinna ONE - Letsdial,7024.0
62,Spain,IT DECISION Techopen,7006.0
63,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",6994.0
64,United Kingdom,VOIPBOXX - Ajoxi,6975.0
65,Spain,IT DECISION Techopen,6930.0
66,Spain,IT DECISION Techopen,6931.0
67,United Kingdom,VOIPBOXX - Ajoxi,6895.0
68,Spain,IT DECISION Techopen,6883.0
69,Spain,IT DECISION Techopen,6877.0
70,Spain,IT DECISION Techopen,6793.0
71,Bangladesh,Alfacall Limited Ajoxi,6848.0
72,Spain,IT DECISION Techopen,6698.0
73,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,7255.0
74,Brazil,Sihai - Meratalk NFS,6492.0
75,United Kingdom,VOIPBOXX - Ajoxi,6211.0
76,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,6877.0
77,United Kingdom,Afinna ONE - Letsdial,6108.0
78,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",6019.0
79,United Kingdom,Afinna ONE - Letsdial,5979.0
80,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,6547.0
81,India,6Gtech Systems - Ajoxi,5703.0
82,Bangladesh,Alfacall Limited Ajoxi,5347.0
83,United Kingdom,GO MOBIT - Softtop,6807.0
84,Bangladesh,Alfacall Limited Ajoxi,5228.0
85,Brazil,Sihai - Meratalk NFS,5149.0
86,Bangladesh,Alfacall Limited Ajoxi,5206.0
87,Spain,IT DECISION Techopen,5142.0
88,Bangladesh,Alfacall Limited Ajoxi,5091.0
89,United Kingdom,Afinna ONE - Letsdial,4956.0
90,United Kingdom,Afinna ONE - Letsdial,4937.0
91,Bangladesh,Alfacall Limited Ajoxi,4963.0
92,India,6Gtech Systems - Ajoxi,4923.0
93,Bangladesh,Alfacall Limited Ajoxi,4874.0
94,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,5002.0
95,Bangladesh,Alfacall Limited Ajoxi,4767.0
96,Spain,SMS INTERNATIONAL TELECOMM LLC  Techopen NFS,4633.0
97,Spain,SMS INTERNATIONAL TELECOMM LLC  Techopen NFS,4545.0
98,Bangladesh,Alfacall Limited Ajoxi,4547.0
99,Australia,Icon Global Services Rozper NFS,4540.0
100,Spain,SMS INTERNATIONAL TELECOMM LLC  Techopen NFS,4512.0
101,Italy,Figoria telecom - Ajoxi,4511.0
102,Spain,SMS INTERNATIONAL TELECOMM LLC  Techopen NFS,4483.0
103,Spain,SMS INTERNATIONAL TELECOMM LLC  Techopen NFS,4482.0
104,United Kingdom,VOIPBOXX - Ajoxi,4474.0
105,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,4816.0
106,Spain,SMS INTERNATIONAL TELECOMM LLC  Techopen NFS,4439.0
107,Spain,SMS INTERNATIONAL TELECOMM LLC  Techopen NFS,4434.0
108,Spain,SMS INTERNATIONAL TELECOMM LLC  Techopen NFS,4421.0
109,Romania,Name - Telecom Italia Sparkle,4395.0
110,Romania,Name - Telecom Italia Sparkle,4366.0
111,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,4746.0
112,Spain,SMS INTERNATIONAL TELECOMM LLC  Techopen NFS,4345.0
113,Spain,SMS INTERNATIONAL TELECOMM LLC  Techopen NFS,4318.0
114,Spain,SMS INTERNATIONAL TELECOMM LLC  Techopen NFS,4314.0
115,Spain,SMS INTERNATIONAL TELECOMM LLC  Techopen NFS,4307.0
116,Spain,SMS INTERNATIONAL TELECOMM LLC  Techopen NFS,4290.0
117,Spain,SMS INTERNATIONAL TELECOMM LLC  Techopen NFS,4279.0
118,Spain,SMS INTERNATIONAL TELECOMM LLC  Techopen NFS,4255.0
119,Spain,SMS INTERNATIONAL TELECOMM LLC  Techopen NFS,4232.0
120,Spain,SMS INTERNATIONAL TELECOMM LLC  Techopen NFS,4198.0
121,Spain,SMS INTERNATIONAL TELECOMM LLC  Techopen NFS,4140.0
122,Italy,Figoria telecom - Ajoxi,4123.0
123,Bangladesh,Alfacall Limited Ajoxi,4099.0
124,Spain,SMS INTERNATIONAL TELECOMM LLC  Techopen NFS,3984.0
125,Spain,SMS INTERNATIONAL TELECOMM LLC  Techopen NFS,3970.0
126,Spain,SMS INTERNATIONAL TELECOMM LLC  Techopen NFS,3942.0
127,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,3951.0
128,Italy,Figoria telecom - Ajoxi,3916.0
129,Bangladesh,QGC - Ajoxi,3878.0
130,India,6Gtech Systems - Ajoxi,10707.0
131,Bangladesh,QGC - Ajoxi,3675.0
132,Italy,Figoria telecom - Ajoxi,3648.0
133,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,3575.0
134,Bangladesh,QGC - Ajoxi,3514.0
135,Australia,Icon Global Services Rozper NFS,3483.0
136,Bangladesh,Alfacall Limited Ajoxi,3491.0
137,India,6Gtech Systems - Ajoxi,3444.0
138,Bangladesh,Progressive Telecom LLC. Letsdial,3752.0
139,India,6Gtech Systems - Ajoxi,3374.0
140,Bangladesh,QGC - Ajoxi,3391.0
141,India,6Gtech Systems - Ajoxi,3359.0
142,Bangladesh,QGC - Ajoxi,3345.0
143,Bangladesh,QGC - Ajoxi,3333.0
144,Bangladesh,QGC - Ajoxi,3322.0
145,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,3334.0
146,Bangladesh,QGC - Ajoxi,3307.0
147,Bangladesh,QGC - Ajoxi,3300.0
148,Bangladesh,QGC - Ajoxi,3284.0
149,Bangladesh,QGC - Ajoxi,3270.0
150,Bangladesh,QGC - Ajoxi,3270.0
151,Bangladesh,QGC - Ajoxi,3242.0
152,India,6Gtech Systems - Ajoxi,3159.0
153,Bangladesh,Alfacall Limited Ajoxi,3092.0
154,Bangladesh,QGC - Ajoxi,3060.0
155,Romania,Name - Telecom Italia Sparkle,3009.0
156,United Kingdom,VOIPBOXX - Ajoxi,2985.0
157,Brazil,Sihai telecom,2979.0
158,Bangladesh,QGC - Ajoxi,2986.0
159,Bangladesh,Alfacall Limited Ajoxi,2972.0
160,Bangladesh,QGC - Ajoxi,2964.0
161,Brazil,Sihai telecom,2932.0
162,Bangladesh,Progressive Telecom LLC. Letsdial,3258.0
163,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,3627.0
164,Bangladesh,QGC - Ajoxi,2944.0
165,United Kingdom,VOIPBOXX - Ajoxi,2895.0
166,United Kingdom,GO MOBIT - Softtop,2892.0
167,United Kingdom,VOIPBOXX - Ajoxi,2867.0
168,Bangladesh,QGC - Ajoxi,2869.0
169,Brazil,Sihai telecom,2803.0
170,United Kingdom,XL Digital Innovation pte Ltd - Techopen,3434.0
171,Bangladesh,Alfacall Limited Ajoxi,2848.0
172,Bangladesh,QGC - Ajoxi,2800.0
173,United Kingdom,GO MOBIT - Softtop,3276.0
174,Brazil,Sihai telecom,2766.0
175,United Kingdom,Maxes Technologies,3287.0
176,United Kingdom,Afinna ONE - Letsdial,2758.0
177,Bangladesh,QGC - Ajoxi,2763.0
178,United Kingdom,VOIPBOXX - Ajoxi,2708.0
179,United Kingdom,Maxes Technologies,3171.0
180,United Kingdom,VOIPBOXX - Ajoxi,2694.0
181,Brazil,Sihai - Meratalk NFS,2686.0
182,Australia,Icon Global Services Rozper NFS,2686.0
183,United Kingdom,Maxes Technologies,3463.0
184,Bangladesh,QGC - Ajoxi,2687.0
185,Brazil,Sihai telecom,2655.0
186,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,3259.0
187,United Kingdom,Maxes Technologies,3549.0
188,Romania,Name - Telecom Italia Sparkle,2645.0
189,Bangladesh,QGC - Ajoxi,2658.0
190,Bangladesh,QGC - Ajoxi,2664.0
191,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,2683.0
192,Bangladesh,QGC - Ajoxi,2661.0
193,Brazil,Sihai telecom,2619.0
194,United Kingdom,VOIPBOXX - Ajoxi,2601.0
195,Italy,Figoria telecom - Ajoxi,2578.0
196,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,2915.0
197,United Kingdom,Maxes Technologies,3473.0
198,United Kingdom,Maxes Technologies,3240.0
199,Brazil,Sihai telecom,2558.0
200,United Kingdom,Maxes Technologies,3512.0
201,Bangladesh,QGC - Ajoxi,2543.0
202,Bangladesh,Alfacall Limited Ajoxi,2537.0
203,Bangladesh,QGC - Ajoxi,2449.0
204,Bangladesh,QGC - Ajoxi,2451.0
205,Australia,Icon Global Services Rozper NFS,2424.0
206,Bangladesh,Progressive Telecom LLC. Letsdial,2617.0
207,Australia,Icon Global Services Rozper NFS,2395.0
208,Italy,Figoria telecom - Ajoxi,2363.0
209,Italy,Figoria telecom - Ajoxi,2356.0
210,Australia,Icon Global Services Rozper NFS,2352.0
211,Italy,Figoria telecom - Ajoxi,2348.0
212,Italy,Figoria telecom - Ajoxi,2339.0
213,Italy,Figoria telecom - Ajoxi,2339.0
214,Italy,Figoria telecom - Ajoxi,2338.0
215,Bangladesh,QGC - Ajoxi,2355.0
216,Italy,Figoria telecom - Ajoxi,2326.0
217,Italy,Figoria telecom - Ajoxi,2325.0
218,Italy,Figoria telecom - Ajoxi,2324.0
219,Italy,Figoria telecom - Ajoxi,2322.0
220,Italy,Figoria telecom - Ajoxi,2317.0
221,Italy,Figoria telecom - Ajoxi,2313.0
222,Italy,Figoria telecom - Ajoxi,2311.0
223,Italy,Figoria telecom - Ajoxi,2304.0
224,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,2325.0
225,Italy,Figoria telecom - Ajoxi,2296.0
226,Italy,Figoria telecom - Ajoxi,2294.0
227,Australia,Icon Global Services Rozper NFS,2295.0
228,Italy,Figoria telecom - Ajoxi,2289.0
229,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,2329.0
230,Italy,Figoria telecom - Ajoxi,2287.0
231,Italy,Figoria telecom - Ajoxi,2271.0
232,Italy,Figoria telecom - Ajoxi,2270.0
233,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,2297.0
234,Italy,Figoria telecom - Ajoxi,2264.0
235,Italy,Figoria telecom - Ajoxi,2259.0
236,United Kingdom,GO MOBIT - Softtop,2249.0
237,Italy,Figoria telecom - Ajoxi,2247.0
238,Italy,Figoria telecom - Ajoxi,2246.0
239,United Kingdom,Maxes Technologies,3067.0
240,Australia,Icon Global Services Rozper NFS,2239.0
241,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,2270.0
242,Australia,Icon Global Services Rozper NFS,2211.0
243,Bangladesh,Progressive Telecom LLC. Letsdial,2399.0
244,Bangladesh,Alfacall Limited Ajoxi,2225.0
245,Bangladesh,Progressive Telecom LLC. Letsdial,2443.0
246,Bangladesh,Alfacall Limited Ajoxi,2193.0
247,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,2245.0
248,Bangladesh,Progressive Telecom LLC. Letsdial,2439.0
249,Bangladesh,Alfacall Limited Ajoxi,2190.0
250,Italy,Figoria telecom - Ajoxi,2155.0
251,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,2620.0
252,Brazil,Sihai telecom,2147.0
253,Australia,Icon Global Services Rozper NFS,2142.0
254,Australia,Icon Global Services Rozper NFS,2142.0
255,Bangladesh,Progressive Telecom LLC. Letsdial,2418.0
256,Australia,Icon Global Services Rozper NFS,2114.0
257,Bangladesh,QGC - Ajoxi,2115.0
258,Bangladesh,Progressive Telecom LLC. Letsdial,2300.0
259,Italy,Figoria telecom - Ajoxi,2065.0
260,Italy,Figoria telecom - Ajoxi,2065.0
261,Australia,Icon Global Services Rozper NFS,2063.0
262,Bangladesh,Alfacall Limited Ajoxi,2062.0
263,India,Neptune Int Vendor NFS,2044.0
264,Bangladesh,Alfacall Limited Ajoxi,2083.0
265,Italy,Figoria telecom - Ajoxi,2039.0
266,Bangladesh,Progressive Telecom LLC. Letsdial,2264.0
267,Australia,Icon Global Services Rozper NFS,2031.0
268,India,6Gtech Systems - Ajoxi,2029.0
269,United Kingdom,VOIPBOXX - Ajoxi,1997.0
270,United Kingdom,VOIPBOXX - Ajoxi,1994.0
271,Bangladesh,QGC - Ajoxi,1994.0
272,Bangladesh,Progressive Telecom LLC. Letsdial,2234.0
273,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,2425.0
274,United Kingdom,VOIPBOXX - Ajoxi,1961.0
275,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,2378.0
276,Bangladesh,Alfacall Limited Ajoxi,1957.0
277,Australia,Icon Global Services Rozper NFS,1949.0
278,Bangladesh,Alfacall Limited Ajoxi,1986.0
279,Bangladesh,QGC - Ajoxi,1937.0
280,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,2313.0
281,Brazil,Sihai telecom,1906.0
282,Bangladesh,Alfacall Limited Ajoxi,1950.0
283,Bangladesh,Alfacall Limited Ajoxi,1941.0
284,Bangladesh,Alfacall Limited Ajoxi,1943.0
285,Spain,SMS INTERNATIONAL TELECOMM LLC  Techopen NFS,1893.0
286,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,2284.0
287,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,1895.0
288,Bangladesh,Progressive Telecom LLC. Letsdial,2068.0
289,Bangladesh,Alfacall Limited Ajoxi,1882.0
290,Bangladesh,QGC - Ajoxi,1857.0
291,Brazil,Sihai telecom,1837.0
292,Brazil,Sihai telecom,1831.0
293,India,6Gtech Systems - Ajoxi,1827.0
294,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,2173.0
295,Australia,Icon Global Services Rozper NFS,1824.0
296,Bangladesh,QGC - Ajoxi,1825.0
297,Brazil,"Name Fei Xiang Forwarding SDN BHD, CO.LTD",1807.0
298,Pakistan,NAME ICON GLOBAL SERVICES LTD,1766.0
299,Brazil,Sihai telecom,1739.0
300,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,2068.0
301,Pakistan,NAME ICON GLOBAL SERVICES LTD,1727.0
302,United Kingdom,XL Digital Innovation pte Ltd - Techopen,1721.0
303,Australia,Icon Global Services Rozper NFS,1715.0
304,Australia,AQWARE systems Limited,1842.0
305,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,1766.0
306,Spain,Neptune Int Vendor NFS,1701.0
307,Brazil,Sihai - Meratalk NFS,1683.0
308,United Kingdom,VOIPBOXX - Ajoxi,1675.0
309,Pakistan,NAME ICON GLOBAL SERVICES LTD,1665.0
310,Pakistan,NAME ICON GLOBAL SERVICES LTD,1663.0
311,Pakistan,NAME ICON GLOBAL SERVICES LTD,1663.0
312,Italy,Figoria telecom - Ajoxi,1651.0
313,Pakistan,NAME ICON GLOBAL SERVICES LTD,1644.0
314,Spain,Neptune Int Vendor NFS,1641.0
315,Pakistan,NAME ICON GLOBAL SERVICES LTD,1633.0
316,Spain,Neptune Int Vendor NFS,1620.0
317,Bangladesh,Onextel Technology Est - Ajoxi,1617.0
318,Spain,SMS INTERNATIONAL TELECOMM LLC  Techopen NFS,1614.0
319,Bangladesh,QGC - Ajoxi,1602.0
320,United Kingdom,Afinna ONE - Letsdial,1615.0
321,Spain,Neptune Int Vendor NFS,1594.0
322,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,1633.0
323,Spain,Neptune Int Vendor NFS,1588.0
324,Spain,Neptune Int Vendor NFS,1578.0
325,Bangladesh,Progressive Telecom LLC. Letsdial,1709.0
326,Brazil,TERMSAT INC Rozper NFS,1535.0
327,Spain,Neptune Int Vendor NFS,1531.0
328,Spain,Neptune Int Vendor NFS,1522.0
329,Spain,Neptune Int Vendor NFS,1508.0
330,Spain,Neptune Int Vendor NFS,1498.0
331,Brazil,TERMSAT INC Rozper NFS,1495.0
332,Bangladesh,Onextel Technology Est - Ajoxi,1493.0
333,Bangladesh,Aladin communication inc,1490.0
334,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,1803.0
335,Spain,Neptune Int Vendor NFS,1470.0
336,Bangladesh,Onextel Technology Est - Ajoxi,1441.0
337,Spain,Neptune Int Vendor NFS,1438.0
338,Spain,Neptune Int Vendor NFS,1435.0
339,Brazil,TERMSAT INC Rozper NFS,1385.0
340,Italy,Figoria telecom - Ajoxi,1377.0
341,Australia,Icon Global Services Rozper NFS,1368.0
342,Pakistan,NAME ICON GLOBAL SERVICES LTD,1363.0
343,Brazil,TERMSAT INC Rozper NFS,1346.0
344,India,6Gtech Systems - Ajoxi,1339.0
345,Spain,Neptune Int Vendor NFS,1330.0
346,Mexico,THUNDER TELECOM S.A.S. Letsdial,1333.0
347,Italy,Armatel - Softtop,1320.0
348,Australia,Icon Global Services Rozper NFS,1311.0
349,United Kingdom,VOIPBOXX - Ajoxi,1311.0
350,Bangladesh,Onextel Technology Est - Ajoxi,1305.0
351,Spain,Neptune Int Vendor NFS,1306.0
352,Spain,Neptune Int Vendor NFS,1297.0
353,Germany,Termsat Softtop,1301.0
354,Eritrea,Quickcom Telecom Limited - Twiching,1291.0
355,Bangladesh,Aladin communication inc,1289.0
356,Eritrea,Quickcom Telecom Limited - Twiching,1285.0
357,Eritrea,Quickcom Telecom Limited - Twiching,1285.0
358,Bangladesh,Progressive Telecom LLC. Letsdial,1354.0
359,Eritrea,Quickcom Telecom Limited - Twiching,1281.0
360,Eritrea,Quickcom Telecom Limited - Twiching,1280.0
361,Germany,Termsat Softtop,1289.0
362,Eritrea,Quickcom Telecom Limited - Twiching,1277.0
363,Eritrea,Quickcom Telecom Limited - Twiching,1274.0
364,Eritrea,Quickcom Telecom Limited - Twiching,1273.0
365,Eritrea,Quickcom Telecom Limited - Twiching,1272.0
366,Eritrea,Quickcom Telecom Limited - Twiching,1273.0
367,Eritrea,Quickcom Telecom Limited - Twiching,1271.0
368,Italy,Armatel - Softtop,1269.0
369,Eritrea,Quickcom Telecom Limited - Twiching,1268.0
370,Eritrea,Quickcom Telecom Limited - Twiching,1266.0
371,Eritrea,Quickcom Telecom Limited - Twiching,1264.0
372,Eritrea,Quickcom Telecom Limited - Twiching,1258.0
373,Eritrea,Quickcom Telecom Limited - Twiching,1255.0
374,Germany,Termsat Softtop,1257.0
375,Germany,Termsat Softtop,1252.0
376,Germany,Termsat Softtop,1249.0
377,United Kingdom,Excelsior Bird Letsdial,1243.0
378,Eritrea,Quickcom Telecom Limited - Twiching,1240.0
379,Bangladesh,Onextel Technology Est - Ajoxi,1240.0
380,Germany,Termsat Softtop,1240.0
381,United Kingdom,Excelsior Bird Letsdial,1221.0
382,Bangladesh,Alfacall Limited Ajoxi,1249.0
383,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,1238.0
384,Italy,Figoria telecom - Ajoxi,1203.0
385,India,Gold Voip - Ajoxi,1209.0
386,Bangladesh,Onextel Technology Est - Ajoxi,1194.0
387,Eritrea,Quickcom Telecom Limited - Twiching,1192.0
388,United Kingdom,Excelsior Bird Letsdial,1190.0
389,Australia,Icon Global Services Rozper NFS,1186.0
390,Germany,Termsat Softtop,1190.0
391,Bangladesh,Aladin communication inc,1167.0
392,Australia,Icon Global Services Rozper NFS,1164.0
393,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,1425.0
394,Italy,Armatel - Softtop,1158.0
395,United Kingdom,VOIPBOXX - Ajoxi,1156.0
396,Bangladesh,Progressive Telecom LLC. Letsdial,1224.0
397,United Kingdom,Excelsior Bird Letsdial,1133.0
398,Indonesia,PLDT (SG) PTE LTD,1123.0
399,India,Neptune Int Vendor NFS,1115.0
400,Bangladesh,Progressive Telecom LLC. Letsdial,1224.0
401,Bangladesh,Progressive Telecom LLC. Letsdial,1255.0
402,Bangladesh,Onextel Technology Est - Ajoxi,1099.0
403,Bangladesh,QGC - Ajoxi,1092.0
404,United Kingdom,Excelsior Bird Letsdial,1085.0
405,Bangladesh,Progressive Telecom LLC. Letsdial,1118.0
406,Bangladesh,Progressive Telecom LLC. Letsdial,1176.0
407,United Kingdom,VOIPBOXX - Ajoxi,1079.0
408,India,6Gtech Systems - Ajoxi,1076.0
409,Bangladesh,Alfacall Limited Ajoxi,1114.0
410,Bangladesh,Onextel Technology Est - Ajoxi,1069.0
411,Bangladesh,Progressive Telecom LLC. Letsdial,1108.0
412,Bangladesh,Progressive Telecom LLC. Letsdial,1105.0
413,Italy,Armatel - Softtop,1060.0
414,United Kingdom,Excelsior Bird Letsdial,1051.0
415,United Kingdom,VOIPBOXX - Ajoxi,1045.0
416,Bangladesh,Progressive Telecom LLC. Letsdial,1112.0
417,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,1058.0
418,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,1203.0
419,Pakistan,NAME ICON GLOBAL SERVICES LTD,1027.0
420,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,1161.0
421,Brazil,TERMSAT INC Rozper NFS,998.0
422,Italy,Armatel - Softtop,998.0
423,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,1024.0
424,Italy,Armatel - Softtop,989.0
425,Bangladesh,Onextel Technology Est - Ajoxi,987.0
426,Pakistan,NAME ICON GLOBAL SERVICES LTD,986.0
427,Italy,Armatel - Softtop,984.0
428,Spain,SMS INTERNATIONAL TELECOMM LLC  Techopen NFS,985.0
429,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,1003.0
430,Italy,Armatel - Softtop,980.0
431,Italy,Armatel - Softtop,976.0
432,Bangladesh,Onextel Technology Est - Ajoxi,976.0
433,Indonesia,PLDT (SG) PTE LTD,969.0
434,Italy,Armatel - Softtop,960.0
435,Bangladesh,Progressive Telecom LLC. Letsdial,1030.0
436,United Kingdom,Name - Passport telecom,1388.0
437,United Kingdom,Excelsior Bird Letsdial,953.0
438,Pakistan,NAME ICON GLOBAL SERVICES LTD,952.0
439,United Kingdom,Name - Passport telecom,1228.0
440,Bangladesh,QGC - Ajoxi,950.0
441,United Kingdom,LEXICO TELECOM,944.0
442,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,1069.0
443,United Kingdom,Excelsior Bird Letsdial,940.0
444,United Kingdom,LEXICO TELECOM,934.0
445,United Kingdom,Name - Passport telecom,1212.0
446,United Kingdom,LEXICO TELECOM,922.0
447,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,1105.0
448,Bangladesh,QGC - Ajoxi,907.0
449,Bangladesh,Progressive Telecom LLC. Letsdial,996.0
450,Eritrea,Quickcom Telecom Limited - Twiching,903.0
451,Eritrea,Quickcom Telecom Limited - Twiching,900.0
452,Eritrea,Quickcom Telecom Limited - Twiching,900.0
453,Eritrea,Quickcom Telecom Limited - Twiching,900.0
454,Eritrea,Quickcom Telecom Limited - Twiching,900.0
455,United Kingdom,VOIPBOXX - Ajoxi,894.0
456,Bangladesh,Figoria,891.0
457,Bangladesh,Figoria,890.0
458,United Kingdom,LEXICO TELECOM,887.0
459,Eritrea,Quickcom Telecom Limited - Twiching,886.0
460,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,904.0
461,Japan,Cellocall,875.0
462,Spain,SMS INTERNATIONAL TELECOMM LLC  Techopen NFS,871.0
463,India,Speed Cloud Rozper NFS,870.0
464,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,975.0
465,Japan,Cellocall,857.0
466,Bangladesh,Figoria,855.0
467,Italy,Armatel - Softtop,853.0
468,United Kingdom,VOIPBOXX - Ajoxi,852.0
469,Japan,Cellocall,851.0
